counter	field	storage_row	edge	identifiable	boundary_sample	failed_test
6905	1	139	right	no		L2
6905	1	219	left	no		L2
6905	1	219	right	no		L2
6905	2	322	left	no		L2
6905	2	322	right	no		L2
6905	2	402	left	no		L2
6905	2	402	right	no		L2
6905	2	482	left	no		L2
6905	2	482	right	no		L2
7043	1	59	left	no		L2
7043	1	59	right	no		L2
7043	1	139	left	no		L2
7043	1	139	right	no		L2
7043	1	219	left	no		L2
7043	1	219	right	no		L2
7043	2	322	left	no		L2
7043	2	322	right	no		L2
7043	2	402	left	no		L2
7043	2	402	right	no		L2
7043	2	482	left	no		L2
7043	2	482	right	no		L2
7044	1	59	left	no		L2
7044	1	59	right	no		L2
7044	1	139	left	no		L2
7044	1	139	right	no		L2
7044	1	219	left	no		L2
7044	1	219	right	no		L2
7044	2	322	left	no		L2
7044	2	322	right	no		L2
7044	2	402	left	no		L2
7044	2	402	right	no		L2
7044	2	482	left	no		L2
7044	2	482	right	no		L2
7045	1	59	left	no		L2
7045	1	59	right	no		L2
7045	1	139	left	no		L2
7045	1	139	right	no		L2
7045	1	219	left	no		L2
7045	1	219	right	no		L2
7045	2	322	left	no		L2
7045	2	322	right	no		L2
7045	2	402	left	no		L2
7045	2	402	right	no		L2
7045	2	482	left	no		L2
7045	2	482	right	no		L2
7046	1	59	left	no		L2
7046	1	59	right	no		L2
7046	1	139	left	no		L2
7046	1	139	right	no		L2
7046	1	219	left	no		L2
7046	1	219	right	no		L2
7046	2	322	left	no		L2
7046	2	322	right	no		L2
7046	2	402	left	no		L2
7046	2	402	right	no		L2
7046	2	482	left	no		L2
7046	2	482	right	no		L2
7112	1	59	left	no		L2
7112	1	59	right	no		L2
7112	1	139	left	no		L2
7112	1	139	right	no		L2
7112	1	219	left	no		L2
7112	1	219	right	no		L2
7112	2	322	left	no		L2
7112	2	322	right	no		L2
7112	2	402	left	no		L2
7112	2	402	right	no		L2
7112	2	482	left	no		L2
7112	2	482	right	no		L2
7113	1	59	left	no		L2
7113	1	59	right	no		L2
7113	1	139	left	no		L2
7113	1	139	right	no		L2
7113	1	219	left	no		L2
7113	1	219	right	no		L2
7113	2	322	left	no		L2
7113	2	322	right	no		L2
7113	2	402	left	no		L2
7113	2	402	right	no		L2
7113	2	482	left	no		L2
7113	2	482	right	no		L2
7114	1	59	left	no		L2
7114	1	59	right	no		L2
7114	1	139	left	no		L2
7114	1	139	right	no		L2
7114	1	219	left	no		L2
7114	1	219	right	no		L2
7114	2	322	left	no		L2
7114	2	322	right	no		L2
7114	2	402	left	no		L2
7114	2	402	right	no		L2
7114	2	482	left	no		L2
7114	2	482	right	no		L2
7115	1	59	left	no		L2
7115	1	59	right	no		L2
7115	1	139	left	no		L2
7115	1	139	right	no		L2
7115	1	219	left	no		L2
7115	1	219	right	no		L2
7115	2	322	left	no		L2
7115	2	322	right	no		L2
7115	2	402	left	no		L2
7115	2	402	right	no		L2
7115	2	482	left	no		L2
7115	2	482	right	no		L2
7166	1	59	left	no		L2
7166	1	59	right	no		L2
7166	1	139	left	no		L2
7166	1	139	right	no		L2
7166	1	219	left	no		L2
7166	1	219	right	no		L2
7166	2	322	left	no		L2
7166	2	322	right	no		L2
7166	2	402	left	no		L2
7166	2	402	right	no		L2
7166	2	482	left	no		L2
7166	2	482	right	no		L2
7167	1	59	left	no		L2
7167	1	59	right	no		L2
7167	1	139	left	no		L2
7167	1	139	right	no		L2
7167	1	219	left	no		L2
7167	1	219	right	no		L2
7167	2	322	left	no		L2
7167	2	322	right	no		L2
7167	2	402	left	no		L2
7167	2	402	right	no		L2
7167	2	482	left	no		L2
7167	2	482	right	no		L2
7168	1	59	left	no		L2
7168	1	59	right	no		L2
7168	1	139	left	no		L2
7168	1	139	right	no		L2
7168	1	219	left	no		L2
7168	1	219	right	no		L2
7168	2	322	left	no		L2
7168	2	322	right	no		L2
7168	2	402	left	no		L2
7168	2	402	right	no		L2
7168	2	482	left	no		L2
7168	2	482	right	no		L2
7169	1	59	left	no		L2
7169	1	59	right	no		L2
7169	1	139	left	no		L2
7169	1	139	right	no		L2
7169	1	219	left	no		L2
7169	1	219	right	no		L2
7169	2	322	left	no		L2
7169	2	322	right	no		L2
7169	2	402	left	no		L2
7169	2	402	right	no		L2
7169	2	482	left	no		L2
7169	2	482	right	no		L2
6811	1	59	left	no		L2
6811	1	59	right	no		L2
6811	1	139	left	no		L2
6811	1	139	right	no		L2
6811	1	219	left	no		L2
6811	1	219	right	no		L2
6811	2	322	left	no		L2
6811	2	322	right	no		L2
6811	2	402	left	no		L2
6811	2	402	right	no		L2
6811	2	482	left	no		L2
6811	2	482	right	no		L2
6812	1	59	left	no		L2
6812	1	59	right	no		L2
6812	1	139	left	no		L2
6812	1	139	right	no		L2
6812	1	219	left	no		L2
6812	1	219	right	no		L2
6812	2	322	left	no		L2
6812	2	322	right	no		L2
6812	2	402	left	no		L2
6812	2	402	right	no		L2
6812	2	482	left	no		L2
6812	2	482	right	no		L2
6813	1	59	left	no		L2
6813	1	59	right	no		L2
6813	1	139	left	no		L2
6813	1	139	right	no		L2
6813	1	219	left	no		L2
6813	1	219	right	no		L2
6813	2	322	left	no		L2
6813	2	322	right	no		L2
6813	2	402	left	no		L2
6813	2	402	right	no		L2
6813	2	482	left	no		L2
6813	2	482	right	no		L2
6814	1	59	left	no		L2
6814	1	59	right	no		L2
6814	1	139	left	no		L2
6814	1	139	right	no		L2
6814	1	219	left	no		L2
6814	1	219	right	no		L2
6814	2	322	left	no		L2
6814	2	322	right	no		L2
6814	2	402	left	no		L2
6814	2	402	right	no		L2
6814	2	482	left	no		L2
6814	2	482	right	no		L2
6840	1	59	left	no		L2
6840	1	59	right	no		L2
6840	1	139	left	no		L2
6840	1	139	right	no		L2
6840	1	219	left	no		L2
6840	1	219	right	no		L2
6840	2	322	left	no		L2
6840	2	322	right	no		L2
6840	2	402	left	no		L2
6840	2	402	right	no		L2
6840	2	482	left	no		L2
6840	2	482	right	no		L2
6841	1	59	left	no		L2
6841	1	59	right	no		L2
6841	1	139	left	no		L2
6841	1	139	right	no		L2
6841	1	219	left	no		L2
6841	1	219	right	no		L2
6841	2	322	left	no		L2
6841	2	322	right	no		L2
6841	2	402	left	no		L2
6841	2	402	right	no		L2
6841	2	482	left	no		L2
6841	2	482	right	no		L2
6842	1	59	left	no		L2
6842	1	59	right	no		L2
6842	1	139	left	no		L2
6842	1	139	right	no		L2
6842	1	219	left	no		L2
6842	1	219	right	no		L2
6842	2	322	left	no		L2
6842	2	322	right	no		L2
6842	2	402	left	no		L2
6842	2	402	right	no		L2
6842	2	482	left	no		L2
6842	2	482	right	no		L2
6843	1	59	left	no		L2
6843	1	59	right	no		L2
6843	1	139	left	no		L2
6843	1	139	right	no		L2
6843	1	219	left	no		L2
6843	1	219	right	no		L2
6843	2	322	left	no		L2
6843	2	322	right	no		L2
6843	2	402	left	no		L2
6843	2	402	right	no		L2
6843	2	482	left	no		L2
6843	2	482	right	no		L2
6869	1	59	left	no		L2
6869	1	59	right	no		L2
6869	1	139	left	no		L2
6869	1	139	right	no		L2
6869	1	219	left	no		L2
6869	1	219	right	no		L2
6869	2	322	left	no		L2
6869	2	322	right	no		L2
6869	2	402	left	no		L2
6869	2	402	right	no		L2
6869	2	482	left	no		L2
6869	2	482	right	no		L2
6870	1	59	left	no		L2
6870	1	59	right	no		L2
6870	1	139	left	no		L2
6870	1	139	right	no		L2
6870	1	219	left	no		L2
6870	1	219	right	no		L2
6870	2	322	left	no		L2
6870	2	322	right	no		L2
6870	2	402	left	no		L2
6870	2	402	right	no		L2
6870	2	482	left	no		L2
6870	2	482	right	no		L2
6871	1	59	left	no		L2
6871	1	59	right	no		L2
6871	1	139	left	no		L2
6871	1	139	right	no		L2
6871	1	219	left	no		L2
6871	1	219	right	no		L2
6871	2	322	left	no		L2
6871	2	322	right	no		L2
6871	2	402	left	no		L2
6871	2	402	right	no		L2
6871	2	482	left	no		L2
6871	2	482	right	no		L2
6872	1	59	left	no		L2
6872	1	59	right	no		L2
6872	1	139	left	no		L2
6872	1	139	right	no		L2
6872	1	219	left	no		L2
6872	1	219	right	no		L2
6872	2	322	left	no		L2
6872	2	322	right	no		L2
6872	2	402	left	no		L2
6872	2	402	right	no		L2
6872	2	482	left	no		L2
6872	2	482	right	no		L2
6898	1	59	left	no		L2
6898	1	59	right	no		L2
6898	1	139	left	no		L2
6898	1	139	right	no		L2
6898	1	219	left	no		L2
6898	1	219	right	no		L2
6898	2	322	left	no		L2
6898	2	322	right	no		L2
6898	2	402	left	no		L2
6898	2	402	right	no		L2
6898	2	482	left	no		L2
6898	2	482	right	no		L2
6899	1	59	left	no		L2
6899	1	59	right	no		L2
6899	1	139	left	no		L2
6899	1	139	right	no		L2
6899	1	219	left	no		L2
6899	1	219	right	no		L2
6899	2	322	left	no		L2
6899	2	322	right	no		L2
6899	2	402	left	no		L2
6899	2	402	right	no		L2
6899	2	482	left	no		L2
6899	2	482	right	no		L2
6900	1	59	left	no		L2
6900	1	59	right	no		L2
6900	1	139	left	no		L2
6900	1	139	right	no		L2
6900	1	219	left	no		L2
6900	1	219	right	no		L2
6900	2	322	left	no		L2
6900	2	322	right	no		L2
6900	2	402	left	no		L2
6900	2	402	right	no		L2
6900	2	482	left	no		L2
6900	2	482	right	no		L2
6901	1	59	left	no		L2
6901	1	59	right	no		L2
6901	1	139	left	no		L2
6901	1	139	right	no		L2
6901	1	219	left	no		L2
6901	1	219	right	no		L2
6901	2	322	left	no		L2
6901	2	322	right	no		L2
6901	2	402	left	no		L2
6901	2	402	right	no		L2
6901	2	482	left	no		L2
6901	2	482	right	no		L2
6906	1	59	left	no		L2
6906	1	59	right	no		L2
6906	1	139	left	no		L2
6906	1	139	right	no		L2
6906	1	219	left	no		L2
6906	1	219	right	no		L2
6906	2	322	left	no		L2
6906	2	322	right	no		L2
6906	2	402	left	no		L2
6906	2	402	right	no		L2
6906	2	482	left	no		L2
6906	2	482	right	no		L2
6907	1	59	left	no		L2
6907	1	59	right	no		L2
6907	1	139	left	no		L2
6907	1	139	right	no		L2
6907	1	219	left	no		L2
6907	1	219	right	no		L2
6907	2	322	left	no		L2
6907	2	322	right	no		L2
6907	2	402	left	no		L2
6907	2	402	right	no		L2
6907	2	482	left	no		L2
6907	2	482	right	no		L2
6908	1	59	left	no		L2
6908	1	59	right	no		L2
6908	1	139	left	no		L2
6908	1	139	right	no		L2
6908	1	219	left	no		L2
6908	1	219	right	no		L2
6908	2	322	left	no		L2
6908	2	322	right	no		L2
6908	2	402	left	no		L2
6908	2	402	right	no		L2
6908	2	482	left	no		L2
6908	2	482	right	no		L2
6909	1	59	left	no		L2
6909	1	59	right	no		L2
6909	1	139	left	no		L2
6909	1	139	right	no		L2
6909	1	219	left	no		L2
6909	1	219	right	no		L2
6909	2	322	left	no		L2
6909	2	322	right	no		L2
6909	2	402	left	no		L2
6909	2	402	right	no		L2
6909	2	482	left	no		L2
6909	2	482	right	no		L2
6931	1	59	left	no		L2
6931	1	59	right	no		L2
6931	1	139	left	no		L2
6931	1	139	right	no		L2
6931	1	219	left	no		L2
6931	1	219	right	no		L2
6931	2	322	left	no		L2
6931	2	322	right	no		L2
6931	2	402	left	no		L2
6931	2	402	right	no		L2
6931	2	482	left	no		L2
6931	2	482	right	no		L2
6932	1	59	left	no		L2
6932	1	59	right	no		L2
6932	1	139	left	no		L2
6932	1	139	right	no		L2
6932	1	219	left	no		L2
6932	1	219	right	no		L2
6932	2	322	left	no		L2
6932	2	322	right	no		L2
6932	2	402	left	no		L2
6932	2	402	right	no		L2
6932	2	482	left	no		L2
6932	2	482	right	no		L2
6933	1	59	left	no		L2
6933	1	59	right	no		L2
6933	1	139	left	no		L2
6933	1	139	right	no		L2
6933	1	219	left	no		L2
6933	1	219	right	no		L2
6933	2	322	left	no		L2
6933	2	322	right	no		L2
6933	2	402	left	no		L2
6933	2	402	right	no		L2
6933	2	482	left	no		L2
6933	2	482	right	no		L2
6934	1	59	left	no		L2
6934	1	59	right	no		L2
6934	1	139	left	no		L2
6934	1	139	right	no		L2
6934	1	219	left	no		L2
6934	1	219	right	no		L2
6934	2	322	left	no		L2
6934	2	322	right	no		L2
6934	2	402	left	no		L2
6934	2	402	right	no		L2
6934	2	482	left	no		L2
6934	2	482	right	no		L2
6957	1	59	left	no		L2
6957	1	59	right	no		L2
6957	1	139	left	no		L2
6957	1	139	right	no		L2
6957	1	219	left	no		L2
6957	1	219	right	no		L2
6957	2	322	left	no		L2
6957	2	322	right	no		L2
6957	2	402	left	no		L2
6957	2	402	right	no		L2
6957	2	482	left	no		L2
6957	2	482	right	no		L2
6958	1	59	left	no		L2
6958	1	59	right	no		L2
6958	1	139	left	no		L2
6958	1	139	right	no		L2
6958	1	219	left	no		L2
6958	1	219	right	no		L2
6958	2	322	left	no		L2
6958	2	322	right	no		L2
6958	2	402	left	no		L2
6958	2	402	right	no		L2
6958	2	482	left	no		L2
6958	2	482	right	no		L2
6959	1	59	left	no		L2
6959	1	59	right	no		L2
6959	1	139	left	no		L2
6959	1	139	right	no		L2
6959	1	219	left	no		L2
6959	1	219	right	no		L2
6959	2	322	left	no		L2
6959	2	322	right	no		L2
6959	2	402	left	no		L2
6959	2	402	right	no		L2
6959	2	482	left	no		L2
6959	2	482	right	no		L2
6960	1	59	left	no		L2
6960	1	59	right	no		L2
6960	1	139	left	no		L2
6960	1	139	right	no		L2
6960	1	219	left	no		L2
6960	1	219	right	no		L2
6960	2	322	left	no		L2
6960	2	322	right	no		L2
6960	2	402	left	no		L2
6960	2	402	right	no		L2
6960	2	482	left	no		L2
6960	2	482	right	no		L2
7171	1	59	left	no		L2
7171	1	59	right	no		L2
7171	1	139	left	no		L2
7171	1	139	right	no		L2
7171	1	219	left	no		L2
7171	1	219	right	no		L2
7171	2	322	left	no		L2
7171	2	322	right	no		L2
7171	2	402	left	no		L2
7171	2	402	right	no		L2
7171	2	482	left	no		L2
7171	2	482	right	no		L2
7172	1	59	left	no		L2
7172	1	59	right	no		L2
7172	1	139	left	no		L2
7172	1	139	right	no		L2
7172	1	219	left	no		L2
7172	1	219	right	no		L2
7172	2	322	left	no		L2
7172	2	322	right	no		L2
7172	2	402	left	no		L2
7172	2	402	right	no		L2
7172	2	482	left	no		L2
7172	2	482	right	no		L2
7173	1	59	left	no		L2
7173	1	59	right	no		L2
7173	1	139	left	no		L2
7173	1	139	right	no		L2
7173	1	219	left	no		L2
7173	1	219	right	no		L2
7173	2	322	left	no		L2
7173	2	322	right	no		L2
7173	2	402	left	no		L2
7173	2	402	right	no		L2
7173	2	482	left	no		L2
7173	2	482	right	no		L2
7174	1	59	left	no		L2
7174	1	59	right	no		L2
7174	1	139	left	no		L2
7174	1	139	right	no		L2
7174	1	219	left	no		L2
7174	1	219	right	no		L2
7174	2	322	left	no		L2
7174	2	322	right	no		L2
7174	2	402	left	no		L2
7174	2	402	right	no		L2
7174	2	482	left	no		L2
7174	2	482	right	no		L2
