capture,ordinal,counter,field,picture_top_line,bottom_line,hs_partial_line,last_recorded_line,review
w_300s,302,13802,1,24,260,261,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_300s,305,13805,1,24,260,261,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_300s,306,13806,1,24,260,261,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_300s,308,13808,1,25,259,260,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_300s,312,13812,1,24,260,261,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_300s,324,13824,1,25,260,261,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_300s,325,13825,1,25,260,261,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_300s,346,13846,1,25,259,260,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_300s,347,13847,1,25,259,260,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_300s,348,13848,1,25,259,260,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_300s,349,13849,1,25,260,261,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_300s,376,13876,1,24,260,261,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_300s,432,13932,1,24,260,261,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_300s,439,13939,2,286,521,522,525,magnified raw top/bottom rows; luma evidence retained in reference note
w_300s,440,13940,1,23,259,260,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_300s,447,13947,1,23,259,260,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_300s,448,13948,1,23,259,260,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_300s,449,13949,1,23,259,260,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_300s,450,13950,1,23,259,260,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_300s,450,13950,2,286,522,523,525,magnified raw top/bottom rows; luma evidence retained in reference note
w_300s,458,13958,1,23,259,260,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_300s,460,13960,1,23,259,260,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_300s,461,13961,1,23,259,260,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_300s,462,13962,1,23,259,260,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_300s,464,13964,1,24,260,261,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_300s,465,13965,1,25,260,261,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_300s,466,13966,1,24,260,261,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_300s,467,13967,2,286,521,522,525,magnified raw top/bottom rows; luma evidence retained in reference note
w_300s,470,13970,2,286,522,523,525,magnified raw top/bottom rows; luma evidence retained in reference note
w_300s,472,13972,2,286,522,523,525,magnified raw top/bottom rows; luma evidence retained in reference note
w_300s,473,13973,1,23,259,260,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_300s,474,13974,1,25,259,260,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_300s,475,13975,1,25,259,260,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_300s,480,13980,1,25,259,260,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_300s,481,13981,1,25,260,261,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_300s,482,13982,1,25,260,261,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_300s,483,13983,1,25,260,261,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_300s,484,13984,1,25,259,260,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_300s,485,13985,1,25,259,260,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_300s,486,13986,1,25,260,261,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_300s,487,13987,1,25,260,261,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_300s,488,13988,1,24,260,261,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_300s,489,13989,1,24,260,261,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_300s,491,13991,1,24,260,261,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_300s,502,14002,1,24,260,261,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_300s,504,14004,1,24,260,261,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_300s,505,14005,1,24,260,261,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_300s,508,14008,1,24,260,261,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_300s,509,14009,1,24,260,261,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_300s,510,14010,1,24,260,261,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_300s,511,14011,1,24,260,261,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_300s,513,14013,1,24,260,261,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_300s,515,14015,1,24,260,261,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_300s,520,14020,1,24,260,261,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_300s,521,14021,1,24,260,261,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_300s,583,14083,1,24,260,261,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_300s,585,14085,1,25,260,261,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,0,1910,2,288,521,522,525,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,2,1912,1,26,260,261,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,2,1912,2,288,521,522,525,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,3,1913,2,288,522,523,525,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,4,1914,1,25,259,260,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,6,1916,1,25,259,260,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,6,1916,2,288,522,523,525,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,7,1917,1,25,259,260,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,7,1917,2,288,522,523,525,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,8,1918,1,25,259,260,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,8,1918,2,288,521,522,525,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,10,1920,2,288,521,522,525,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,29,1939,2,288,522,523,525,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,69,1979,2,288,522,523,525,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,70,1980,2,288,521,522,525,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,81,1991,2,288,521,522,525,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,82,1992,2,288,522,523,525,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,112,2022,2,288,522,523,525,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,115,2025,1,25,259,260,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,115,2025,2,288,522,523,525,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,116,2026,2,288,522,523,525,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,117,2027,2,288,522,523,525,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,119,2029,1,26,260,261,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,119,2029,2,288,521,522,525,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,120,2030,2,288,522,523,525,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,121,2031,1,25,259,260,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,121,2031,2,288,522,523,525,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,122,2032,1,26,260,261,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,123,2033,1,25,259,260,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,123,2033,2,288,521,522,525,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,124,2034,2,288,522,523,525,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,125,2035,2,288,521,522,525,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,126,2036,2,288,521,522,525,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,127,2037,1,25,259,260,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,127,2037,2,288,521,522,525,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,128,2038,1,25,259,260,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,128,2038,2,288,521,522,525,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,129,2039,1,26,260,261,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,129,2039,2,288,521,522,525,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,130,2040,1,26,260,261,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,130,2040,2,288,521,522,525,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,131,2041,1,26,260,261,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,131,2041,2,288,521,522,525,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,132,2042,1,26,260,261,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,132,2042,2,288,522,523,525,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,133,2043,1,25,259,260,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,133,2043,2,288,521,522,525,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,134,2044,1,26,260,261,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,134,2044,2,288,521,522,525,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,135,2045,2,288,521,522,525,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,136,2046,1,26,260,261,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,136,2046,2,288,522,523,525,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,137,2047,2,288,521,522,525,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,138,2048,1,26,260,261,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,138,2048,2,288,521,522,525,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,139,2049,1,25,259,260,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,139,2049,2,288,522,523,525,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,140,2050,2,288,521,522,525,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,141,2051,2,288,522,523,525,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,142,2052,1,26,260,261,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,143,2053,1,26,260,261,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,144,2054,1,26,259,260,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,144,2054,2,288,522,523,525,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,145,2055,1,26,260,261,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,145,2055,2,288,522,523,525,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,146,2056,2,288,521,522,525,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,147,2057,1,26,260,261,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,147,2057,2,288,522,523,525,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,148,2058,2,288,521,522,525,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,149,2059,1,26,260,261,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,156,2066,2,288,522,523,525,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,167,2077,2,288,522,523,525,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,168,2078,2,288,521,522,525,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,169,2079,2,288,522,523,525,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,177,2087,1,26,260,261,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,188,2098,1,26,259,260,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,195,2105,2,288,522,523,525,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,203,2113,2,288,522,523,525,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,204,2114,2,288,522,523,525,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,205,2115,1,26,259,260,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,205,2115,2,288,522,523,525,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,207,2117,1,26,260,261,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,207,2117,2,288,521,522,525,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,208,2118,1,26,260,261,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,208,2118,2,288,522,523,525,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,209,2119,1,25,259,260,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,210,2120,1,25,259,260,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,211,2121,1,25,259,260,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,212,2122,1,25,259,260,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,212,2122,2,288,522,523,525,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,213,2123,1,25,259,260,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,214,2124,2,288,522,523,525,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,216,2126,1,25,259,260,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,216,2126,2,288,522,523,525,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,217,2127,1,25,259,260,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,218,2128,1,26,260,261,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,218,2128,2,288,522,523,525,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,219,2129,1,26,260,261,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,220,2130,1,26,260,261,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,220,2130,2,288,521,522,525,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,221,2131,1,26,260,261,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,222,2132,1,25,259,260,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,223,2133,2,288,522,523,525,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,224,2134,1,25,259,260,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,224,2134,2,288,522,523,525,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,225,2135,2,288,522,523,525,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,226,2136,1,25,259,260,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,227,2137,2,288,522,523,525,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,228,2138,1,25,259,260,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,228,2138,2,288,522,523,525,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,229,2139,1,25,259,260,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,229,2139,2,288,522,523,525,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,230,2140,1,25,259,260,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,230,2140,2,288,522,523,525,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,231,2141,1,25,259,260,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,232,2142,1,25,259,260,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,232,2142,2,288,522,523,525,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,233,2143,1,25,259,260,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,234,2144,2,288,522,523,525,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,235,2145,1,25,259,260,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,235,2145,2,288,521,522,525,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,236,2146,1,25,259,260,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,237,2147,1,25,259,260,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,238,2148,2,288,522,523,525,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,239,2149,1,25,259,260,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,239,2149,2,288,522,523,525,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,240,2150,2,288,522,523,525,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,241,2151,1,25,259,260,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,241,2151,2,288,522,523,525,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,242,2152,2,288,522,523,525,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,243,2153,2,288,522,523,525,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,244,2154,1,25,259,260,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,244,2154,2,288,522,523,525,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,245,2155,1,25,259,260,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,245,2155,2,288,522,523,525,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,246,2156,1,26,260,261,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,246,2156,2,288,522,523,525,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,247,2157,1,25,259,260,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,247,2157,2,288,522,523,525,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,248,2158,1,25,259,260,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,248,2158,2,288,522,523,525,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,249,2159,1,26,260,261,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,250,2160,2,288,521,522,525,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,251,2161,2,288,522,523,525,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,252,2162,1,25,259,260,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,252,2162,2,288,522,523,525,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,253,2163,2,288,522,523,525,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,254,2164,1,25,259,260,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,254,2164,2,288,522,523,525,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,255,2165,1,25,259,260,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,255,2165,2,288,522,523,525,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,256,2166,1,26,259,260,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,256,2166,2,288,522,523,525,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,257,2167,2,288,522,523,525,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,260,2170,1,26,260,261,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,267,2177,1,26,260,261,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,267,2177,2,288,522,523,525,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,274,2184,2,288,521,522,525,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,277,2187,1,26,259,260,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,280,2190,1,26,260,261,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,289,2199,2,288,522,523,525,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,296,2206,2,288,522,523,525,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,297,2207,1,26,259,260,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,297,2207,2,288,522,523,525,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,307,2217,2,288,521,522,525,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,308,2218,2,288,521,522,525,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,331,2241,1,26,260,261,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,358,2268,2,288,522,523,525,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,359,2269,1,26,259,260,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,359,2269,2,288,522,523,525,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,361,2271,2,288,522,523,525,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,362,2272,1,26,260,261,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,362,2272,2,288,522,523,525,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,363,2273,1,26,260,261,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,364,2274,1,25,259,260,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,364,2274,2,288,521,522,525,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,365,2275,2,288,521,522,525,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,368,2278,1,25,259,260,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,372,2282,1,25,259,260,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,372,2282,2,288,522,523,525,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,373,2283,1,26,260,261,262,magnified raw top/bottom rows; luma evidence retained in reference note
w_2100s,374,2284,1,26,260,261,262,magnified raw top/bottom rows; luma evidence retained in reference note
